
Model Run System Date and Time: Sat 20-Aug-2011 09:16:09

Scenario,Replicate,ModelDate,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C
***,***,***,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook
***,***,***,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Adult,Adult,Adult,Adult,Adult,Adult,Adult,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Juvenile,Adult,Adult,Adult,Adult,Adult,Adult,Adult
***,***,***,DemonicIntrusion,HighTemperature,Velocity,Stranding,PoorCondition,TerrestialPredation,AquaticPredation,DemonicIntrusion,HighTemperature,Velocity,Stranding,PoorCondition,TerrestialPredation,AquaticPredation,DemonicIntrusion,HighTemperature,Velocity,Stranding,PoorCondition,TerrestialPredation,AquaticPredation,DemonicIntrusion,HighTemperature,Velocity,Stranding,PoorCondition,TerrestialPredation,AquaticPredation
***,***,***,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count
1,1,10/01/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/02/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/03/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/04/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/05/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/06/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/07/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/08/2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/09/2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,10/10/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,1,10/11/2006,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,1,10/12/2006,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1,1,10/13/2006,0,0,0,0,0,0,0,0,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0
1,1,10/14/2006,0,0,0,0,0,0,0,0,0,0,2,13,3,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0
1,1,10/15/2006,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
