
Model Run System Date and Time: Fri 30-Aug-2013 13:03:03

Scenario,Replicate,ModelDate,getReachSymbol,getSpecies,getLifestageSymbol,getCauseOfDeath,Count
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,DemonicIntrusion,0
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,HighTemperature,0
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,Velocity,0
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,Stranding,0
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,PoorCondition,0
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,TerrestialPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Juvenile,AquaticPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,DemonicIntrusion,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,HighTemperature,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,Velocity,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,Stranding,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,PoorCondition,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,TerrestialPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Adult,AquaticPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,DemonicIntrusion,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,HighTemperature,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,Velocity,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,Stranding,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,PoorCondition,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,TerrestialPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Presmolt,AquaticPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,DemonicIntrusion,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,HighTemperature,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,Velocity,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,Stranding,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,PoorCondition,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,TerrestialPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Smolt,AquaticPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,DemonicIntrusion,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,HighTemperature,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,Velocity,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,Stranding,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,PoorCondition,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,TerrestialPredation,0
1,1,11/01/2005,DogGulch,OMykiss,Prespawn,AquaticPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,DemonicIntrusion,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,HighTemperature,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,Velocity,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,Stranding,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,PoorCondition,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,TerrestialPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Juvenile,AquaticPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,DemonicIntrusion,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,HighTemperature,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,Velocity,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,Stranding,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,PoorCondition,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,TerrestialPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Adult,AquaticPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,DemonicIntrusion,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,HighTemperature,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,Velocity,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,Stranding,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,PoorCondition,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,TerrestialPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Presmolt,AquaticPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,DemonicIntrusion,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,HighTemperature,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,Velocity,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,Stranding,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,PoorCondition,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,TerrestialPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Smolt,AquaticPredation,0
1,1,11/01/2005,SpawnArea4,OMykiss,Prespawn,DemonicIntrusion,0
1,1,11/01/2005,SpawnArea4,OMykiss,Prespawn,HighTemperature,0
1,1,11/01/2005,SpawnArea4,OMykiss,Prespawn,Velocity,0
1,1,11/01/2005,SpawnArea4,OMykiss,Prespawn,Stranding,0
