Hydraulic data input file for inSALMO,"Kanaka site, Clear Creek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created from Clear Creek River2D data,,,,8/29/2013 7:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flows,1.42,,2.12,,2.83,,3.54,,4.25,,4.96,,5.66,,6.37,,7.08,,7.79,,8.5,,9.91,,11.33,,12.74,,14.16,,15.57,,16.99,,18.41,,19.82,,21.24,,22.65,,24.07,,25.5,,56.63,,141.6,,1416,
poly-id,depth@50,veloc@50,depth@075,veloc@075,depth@100,veloc@100,depth@125,veloc@125,depth@150,veloc@150,depth@175,veloc@175,depth@200,veloc@200,depth@225,veloc@225,depth@250,veloc@250,depth@275,veloc@275,depth@300,veloc@300,depth@350,veloc@350,depth@400,veloc@400,depth@450,veloc@450,depth@500,veloc@500,depth@550,veloc@550,depth@600,veloc@600,depth@650,veloc@650,depth@700,veloc@700,depth@750,veloc@750,depth@800,veloc@800,depth@850,veloc@850,depth@900,veloc@900,depth@2000,veloc@2000,depth@5000,veloc@5000,depth@50000,veloc@50000
1,0.591,0.018,0.503,0.000,0.566,0.031,0.626,0.037,0.684,0.049,0.736,0.057,0.774,0.065,0.811,0.072,0.845,0.079,0.878,0.086,0.909,0.094,0.967,0.113,1.022,0.132,1.073,0.151,1.123,0.172,1.169,0.192,1.212,0.213,1.252,0.237,1.292,0.265,1.330,0.296,1.367,0.332,1.402,0.370,1.436,0.410,4.862,3.130,17.766,4.161,2.946,2.490
2,2.150,0.070,2.013,0.114,2.112,0.143,2.199,0.169,2.277,0.193,2.343,0.220,2.390,0.245,2.434,0.267,2.475,0.289,2.513,0.311,2.549,0.332,2.616,0.374,2.677,0.415,2.733,0.454,2.786,0.496,2.836,0.532,2.883,0.568,2.927,0.605,2.970,0.641,3.011,0.677,3.050,0.716,3.087,0.753,3.124,0.790,6.558,3.642,19.395,5.302,4.659,2.794
3,2.211,0.087,2.074,0.141,2.173,0.178,2.260,0.210,2.338,0.242,2.404,0.277,2.451,0.309,2.495,0.338,2.535,0.367,2.573,0.396,2.609,0.423,2.676,0.476,2.736,0.527,2.792,0.576,2.845,0.627,2.895,0.671,2.942,0.713,2.985,0.755,3.028,0.794,3.068,0.831,3.107,0.870,3.144,0.904,3.180,0.937,6.590,3.707,19.515,5.615,4.685,2.860
4,1.257,0.082,1.120,0.131,1.220,0.165,1.306,0.195,1.384,0.225,1.450,0.258,1.496,0.289,1.540,0.314,1.580,0.340,1.618,0.366,1.654,0.391,1.720,0.438,1.781,0.483,1.836,0.527,1.889,0.573,1.938,0.613,1.985,0.652,2.028,0.689,2.070,0.725,2.110,0.760,2.149,0.796,2.185,0.827,2.221,0.857,5.525,3.572,18.174,5.855,3.674,2.647
5,0.008,0.003,0.002,0.000,0.006,0.002,0.022,0.010,0.061,0.018,0.112,0.050,0.154,0.072,0.197,0.106,0.236,0.129,0.274,0.154,0.310,0.170,0.377,0.196,0.437,0.237,0.492,0.267,0.545,0.300,0.595,0.333,0.641,0.367,0.684,0.396,0.726,0.423,0.767,0.449,0.805,0.475,0.842,0.497,0.878,0.518,4.220,3.151,17.274,5.158,2.339,2.152
6,0.533,0.043,0.400,0.056,0.496,0.083,0.582,0.138,0.659,0.176,0.726,0.214,0.772,0.229,0.816,0.264,0.856,0.288,0.894,0.311,0.930,0.332,0.996,0.371,1.057,0.408,1.112,0.446,1.165,0.485,1.214,0.521,1.261,0.556,1.304,0.590,1.346,0.622,1.386,0.653,1.425,0.686,1.461,0.714,1.497,0.740,4.805,3.417,17.544,5.685,2.950,2.445
7,0.054,0.008,0.017,0.008,0.042,0.008,0.071,0.030,0.120,0.044,0.174,0.055,0.216,0.054,0.258,0.071,0.297,0.084,0.335,0.104,0.370,0.118,0.437,0.146,0.496,0.165,0.551,0.192,0.604,0.223,0.653,0.267,0.700,0.314,0.743,0.349,0.785,0.378,0.825,0.407,0.863,0.437,0.899,0.461,0.935,0.482,4.051,3.234,15.960,4.993,2.326,2.214
8,1.269,0.061,1.132,0.092,1.231,0.123,1.318,0.155,1.396,0.182,1.462,0.211,1.508,0.235,1.553,0.261,1.593,0.284,1.631,0.306,1.667,0.328,1.733,0.368,1.794,0.405,1.849,0.443,1.902,0.482,1.952,0.516,1.999,0.549,2.042,0.581,2.084,0.613,2.125,0.645,2.164,0.678,2.200,0.706,2.236,0.733,5.501,3.468,17.535,5.999,3.696,2.406
