
Model Run System Date and Time: Fri 30-Aug-2013 13:03:03

Scenario,Replicate,ModelDate,getSpecies,getLifestageSymbol,Count,MeanLength
1,1,11/01/2005,OMykiss,Juvenile,0,0
1,1,11/01/2005,OMykiss,Adult,0,0
1,1,11/01/2005,OMykiss,Presmolt,0,0
1,1,11/01/2005,OMykiss,Smolt,0,0
1,1,11/01/2005,OMykiss,Prespawn,0,0
1,1,11/02/2005,OMykiss,Juvenile,0,0
1,1,11/02/2005,OMykiss,Adult,0,0
1,1,11/02/2005,OMykiss,Presmolt,0,0
1,1,11/02/2005,OMykiss,Smolt,0,0
1,1,11/02/2005,OMykiss,Prespawn,0,0
1,1,11/03/2005,OMykiss,Juvenile,0,0
1,1,11/03/2005,OMykiss,Adult,0,0
1,1,11/03/2005,OMykiss,Presmolt,0,0
1,1,11/03/2005,OMykiss,Smolt,0,0
1,1,11/03/2005,OMykiss,Prespawn,0,0
1,1,11/04/2005,OMykiss,Juvenile,0,0
1,1,11/04/2005,OMykiss,Adult,0,0
1,1,11/04/2005,OMykiss,Presmolt,0,0
1,1,11/04/2005,OMykiss,Smolt,0,0
1,1,11/04/2005,OMykiss,Prespawn,0,0
1,1,11/05/2005,OMykiss,Juvenile,0,0
1,1,11/05/2005,OMykiss,Adult,0,0
1,1,11/05/2005,OMykiss,Presmolt,0,0
1,1,11/05/2005,OMykiss,Smolt,0,0
1,1,11/05/2005,OMykiss,Prespawn,0,0
1,1,11/06/2005,OMykiss,Juvenile,0,0
1,1,11/06/2005,OMykiss,Adult,0,0
1,1,11/06/2005,OMykiss,Presmolt,0,0
1,1,11/06/2005,OMykiss,Smolt,0,0
1,1,11/06/2005,OMykiss,Prespawn,0,0
1,1,11/07/2005,OMykiss,Juvenile,0,0
1,1,11/07/2005,OMykiss,Adult,0,0
1,1,11/07/2005,OMykiss,Presmolt,0,0
1,1,11/07/2005,OMykiss,Smolt,0,0
1,1,11/07/2005,OMykiss,Prespawn,0,0
1,1,11/08/2005,OMykiss,Juvenile,0,0
1,1,11/08/2005,OMykiss,Adult,0,0
1,1,11/08/2005,OMykiss,Presmolt,0,0
1,1,11/08/2005,OMykiss,Smolt,0,0
1,1,11/08/2005,OMykiss,Prespawn,0,0
1,1,11/09/2005,OMykiss,Juvenile,0,0
1,1,11/09/2005,OMykiss,Adult,0,0
1,1,11/09/2005,OMykiss,Presmolt,0,0
1,1,11/09/2005,OMykiss,Smolt,0,0
1,1,11/09/2005,OMykiss,Prespawn,0,0
1,1,11/10/2005,OMykiss,Juvenile,0,0
1,1,11/10/2005,OMykiss,Adult,0,0
1,1,11/10/2005,OMykiss,Presmolt,0,0
1,1,11/10/2005,OMykiss,Smolt,0,0
1,1,11/10/2005,OMykiss,Prespawn,0,0
