Cell data file for inSALMO,Spawn Area 4 site,,,
"From J. White, 8/27/2013",,,,
Cell#,FracVelShelter,DistToHidingCover,FracSpawnGravel,ReachEndCode
1,0.117,1.689,0.153,I
2,0.458,1.337,0.161,I
3,0.167,5.077,0.886,I
4,1,6.935,0.375,I
5,0,1.3,0.014,U
6,0,9.097,0.649,I
7,0,10.106,0.32,I
8,0,11.464,0.315,I
9,0,15.76,0.62,U
10,0,5.52,0.072,I
11,0,5.074,0.004,I
12,0.04,1.28,0,I
13,0,5.265,0,I
14,0.075,1.12,0,I
15,0.12,0.867,0,I
16,0.047,1.728,0,I
17,0,1.445,0,I
18,0.3,0.824,0.056,I
19,0.323,1.396,0,I
20,0.479,1.489,0,I
21,0,0.751,0,I
22,0.8,1.517,0,I
23,0.663,1.439,0,I
24,0.261,2.689,0,I
25,0.226,0.886,0,I
26,0,3.061,0.383,I
27,0,11.278,0.495,I
28,0,2.052,0.061,I
29,0.146,0.857,0.03,I
30,0,3.708,0.866,I
31,0.034,2.743,0.064,I
32,0.117,2.518,0,I
33,1,1.751,0,I
34,0,3.097,0,I
35,0,2.465,0,I
36,0.209,0.991,0,I
37,0.188,2.458,0,I
38,0.146,1.736,0,I
39,0.193,0.303,0,I
40,0.016,1.345,0.06,I
41,0,5.433,0.357,I
42,0,7.971,0.451,I
43,0,15.331,0.251,I
44,0.248,8.234,0.503,I
45,1,3.212,0.095,I
46,1,1.983,0.007,I
47,0,3.038,0,I
48,0.112,2.355,0.167,I
49,0.422,5.383,0.621,I
50,0.141,8.164,0.633,I
51,0,13.098,0.226,I
52,0,15.26,0.154,I
53,0,7.506,0.169,I
54,0.325,3.871,0,I
55,0.415,1.279,0,I
56,0.053,0.574,0,I
57,0.021,0.382,0,I
58,0.044,1.144,0,I
59,0.044,1.292,0,I
60,0.319,1.82,0,I
61,0.342,1.358,0,I
62,0.204,1.909,0,I
63,0.389,3.22,0,I
64,0.87,1.549,0,I
65,0.061,1.432,0,I
66,0.143,0.764,0,I
67,0.087,0.925,0,I
68,0.419,1.267,0,I
69,0.778,2.521,0,I
70,0.017,1.36,0,I
71,0.165,2.4,0,I
72,0.429,5.641,0,I
73,0,11.854,0,I
74,0,18.381,0.07,I
75,0.259,8.444,0.731,I
76,0,18.545,0.569,I
77,0,14.813,0.14,I
78,0.167,4.929,0,I
79,0.733,2.121,0,I
80,1,1.503,0,I
81,0.026,2.105,0,I
