
Model Run System Date and Time: Sat 20-Aug-2011 09:16:09

Scenario,Replicate,ModelDate,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C
***,***,***,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook
***,***,***,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult
***,***,***,Count,Count,Count,Count,MeanLength,MeanLength,MeanLength,MeanLength,TotalWeight,TotalWeight,TotalWeight,TotalWeight,MeanWeight,MeanWeight,MeanWeight,MeanWeight
1,1,10/01/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/02/2006,0,0,0,1,0,0,0,                85.665925,0,0,0,             22825.302099,0,0,0,             22825.302099
1,1,10/03/2006,0,0,0,1,0,0,0,                85.665925,0,0,0,             22777.009154,0,0,0,             22777.009154
1,1,10/04/2006,0,0,0,1,0,0,0,                85.665925,0,0,0,             22731.053920,0,0,0,             22731.053920
1,1,10/05/2006,0,1,0,3,0,                77.004991,0,                93.093747,0,             15742.591977,0,             93193.491551,0,             15742.591977,0,             31064.497184
1,1,10/06/2006,0,1,0,4,0,                77.004991,0,                93.504246,0,             15716.105455,0,            112378.078759,0,             15716.105455,0,             28094.519690
1,1,10/07/2006,0,2,0,5,0,                78.491751,0,                91.959269,0,             33657.670194,0,            116643.604308,0,             16828.835097,0,             23328.720862
1,1,10/08/2006,0,4,0,9,0,                83.936721,0,                88.441872,0,             75665.723656,0,            207670.464315,0,             18916.430914,0,             23074.496035
1,1,10/09/2006,0,13,0,19,0,                89.718028,0,                84.568508,0,            319680.109652,0,            418130.046348,0,             24590.777666,0,             22006.844545
1,1,10/10/2006,0,30,0,29,0,                87.091449,0,                85.458733,0,            662801.498735,0,            576518.259413,0,             22093.383291,0,             19879.939980
1,1,10/11/2006,0,55,0,46,0,                85.561913,0,                86.467761,0,           1130160.542082,0,            919247.443427,0,             20548.373492,0,             19983.640074
1,1,10/12/2006,0,82,0,70,0,                85.528979,0,                86.414495,0,           1696357.793887,0,           1421516.755969,0,             20687.290169,0,             20307.382228
1,1,10/13/2006,0,122,0,110,0,                85.321377,0,                86.012841,0,           2420868.407505,0,           2196947.069448,0,             19843.183668,0,             19972.246086
1,1,10/14/2006,0,166,0,163,0,                84.957593,0,                85.624079,0,           3215305.730686,0,           3248377.649267,0,             19369.311631,0,             19928.697235
1,1,10/15/2006,0,225,0,210,0,                84.593380,0,                85.036428,0,           4312367.776141,0,           3998892.739904,0,             19166.079005,0,             19042.346380
