
Model Run System Date and Time: Sat 20-Aug-2011 09:16:09

Scenario,Replicate,ModelDate,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook,FallChinook
***,***,***,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C,ClearCreek-3A,ClearCreek-3A,ClearCreek-3A,ClearCreek-3C,ClearCreek-3C,ClearCreek-3C
***,***,***,Size0to5,Size5to8,Size8Plus,Size0to5,Size5to8,Size8Plus,Size0to5,Size5to8,Size8Plus,Size0to5,Size5to8,Size8Plus
***,***,***,Count,Count,Count,Count,Count,Count,MeanLength,MeanLength,MeanLength,MeanLength,MeanLength,MeanLength
1,1,10/01/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/02/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/03/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/04/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/05/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/06/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/07/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/08/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/09/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/10/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/11/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/12/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/13/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/14/2006,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10/15/2006,0,0,0,0,0,0,0,0,0,0,0,0
