Example drift concentration input file,Save in .csv format
Created by assuming drift is proportional to daily temperature
Date,Hour,DriftConc (g/m3)
10/1/1995,0,1.91E-10
10/1/1995,1,1.91E-10
10/1/1995,2,1.91E-10
10/1/1995,3,1.91E-10
10/1/1995,4,1.91E-10
10/1/1995,5,1.91E-10
10/1/1995,6,1.91E-10
10/1/1995,7,1.91E-10
10/1/1995,8,1.91E-10
10/1/1995,9,1.91E-10
10/1/1995,10,1.91E-10
10/1/1995,11,1.91E-10
10/1/1995,12,1.91E-10
10/1/1995,13,1.91E-10
10/1/1995,14,1.91E-10
10/1/1995,15,1.91E-10
10/1/1995,16,1.91E-10
10/1/1995,17,1.91E-10
10/1/1995,18,1.91E-10
10/1/1995,19,1.91E-10
10/1/1995,20,1.91E-10
10/1/1995,21,1.91E-10
10/1/1995,22,1.91E-10
10/1/1995,23,1.91E-10
10/2/1995,0,1.89E-10
10/2/1995,1,1.89E-10
10/2/1995,2,1.89E-10
10/2/1995,3,1.89E-10
10/2/1995,4,1.89E-10
10/2/1995,5,1.89E-10
10/2/1995,6,1.89E-10
10/2/1995,7,1.89E-10
10/2/1995,8,1.89E-10
10/2/1995,9,1.89E-10
10/2/1995,10,1.89E-10
10/2/1995,11,1.89E-10
10/2/1995,12,1.89E-10
10/2/1995,13,1.89E-10
10/2/1995,14,1.89E-10
10/2/1995,15,1.89E-10
10/2/1995,16,1.89E-10
10/2/1995,17,1.89E-10
10/2/1995,18,1.89E-10
10/2/1995,19,1.89E-10
10/2/1995,20,1.89E-10
10/2/1995,21,1.89E-10
10/2/1995,22,1.89E-10
10/2/1995,23,1.89E-10
10/3/1995,0,1.89E-10
10/3/1995,1,1.89E-10
10/3/1995,2,1.89E-10
10/3/1995,3,1.89E-10
10/3/1995,4,1.89E-10
10/3/1995,5,1.89E-10
10/3/1995,6,1.89E-10
10/3/1995,7,1.89E-10
10/3/1995,8,1.89E-10
10/3/1995,9,1.89E-10
10/3/1995,10,1.89E-10
10/3/1995,11,1.89E-10
10/3/1995,12,1.89E-10
10/3/1995,13,1.89E-10
10/3/1995,14,1.89E-10
10/3/1995,15,1.89E-10
10/3/1995,16,1.89E-10
10/3/1995,17,1.89E-10
10/3/1995,18,1.89E-10
10/3/1995,19,1.89E-10
10/3/1995,20,1.89E-10
10/3/1995,21,1.89E-10
10/3/1995,22,1.89E-10
10/3/1995,23,1.89E-10
10/4/1995,0,1.88E-10
10/4/1995,1,1.88E-10
10/4/1995,2,1.88E-10
10/4/1995,3,1.88E-10
10/4/1995,4,1.88E-10
10/4/1995,5,1.88E-10
10/4/1995,6,1.88E-10
10/4/1995,7,1.88E-10
10/4/1995,8,1.88E-10
10/4/1995,9,1.88E-10
10/4/1995,10,1.88E-10
10/4/1995,11,1.88E-10
10/4/1995,12,1.88E-10
10/4/1995,13,1.88E-10
10/4/1995,14,1.88E-10
10/4/1995,15,1.88E-10
10/4/1995,16,1.88E-10
10/4/1995,17,1.88E-10
10/4/1995,18,1.88E-10
10/4/1995,19,1.88E-10
10/4/1995,20,1.88E-10
10/4/1995,21,1.88E-10
10/4/1995,22,1.88E-10
10/4/1995,23,1.88E-10
10/5/1995,0,1.86E-10
10/5/1995,1,1.86E-10
10/5/1995,2,1.86E-10
10/5/1995,3,1.86E-10
10/5/1995,4,1.86E-10
10/5/1995,5,1.86E-10
10/5/1995,6,1.86E-10
10/5/1995,7,1.86E-10
10/5/1995,8,1.86E-10
10/5/1995,9,1.86E-10
10/5/1995,10,1.86E-10
10/5/1995,11,1.86E-10
10/5/1995,12,1.86E-10
10/5/1995,13,1.86E-10
10/5/1995,14,1.86E-10
10/5/1995,15,1.86E-10
10/5/1995,16,1.86E-10
10/5/1995,17,1.86E-10
10/5/1995,18,1.86E-10
10/5/1995,19,1.86E-10
10/5/1995,20,1.86E-10
10/5/1995,21,1.86E-10
10/5/1995,22,1.86E-10
10/5/1995,23,1.86E-10
10/6/1995,0,1.85E-10
10/6/1995,1,1.85E-10
10/6/1995,2,1.85E-10
10/6/1995,3,1.85E-10
10/6/1995,4,1.85E-10
10/6/1995,5,1.85E-10
10/6/1995,6,1.85E-10
10/6/1995,7,1.85E-10
10/6/1995,8,1.85E-10
10/6/1995,9,1.85E-10
10/6/1995,10,1.85E-10
10/6/1995,11,1.85E-10
10/6/1995,12,1.85E-10
10/6/1995,13,1.85E-10
10/6/1995,14,1.85E-10
10/6/1995,15,1.85E-10
10/6/1995,16,1.85E-10
10/6/1995,17,1.85E-10
10/6/1995,18,1.85E-10
10/6/1995,19,1.85E-10
10/6/1995,20,1.85E-10
10/6/1995,21,1.85E-10
10/6/1995,22,1.85E-10
10/6/1995,23,1.85E-10
10/7/1995,0,1.85E-10
10/7/1995,1,1.85E-10
10/7/1995,2,1.85E-10
10/7/1995,3,1.85E-10
10/7/1995,4,1.85E-10
10/7/1995,5,1.85E-10
10/7/1995,6,1.85E-10
10/7/1995,7,1.85E-10
10/7/1995,8,1.85E-10
10/7/1995,9,1.85E-10
10/7/1995,10,1.85E-10
10/7/1995,11,1.85E-10
10/7/1995,12,1.85E-10
10/7/1995,13,1.85E-10
10/7/1995,14,1.85E-10
10/7/1995,15,1.85E-10
10/7/1995,16,1.85E-10
10/7/1995,17,1.85E-10
10/7/1995,18,1.85E-10
10/7/1995,19,1.85E-10
10/7/1995,20,1.85E-10
10/7/1995,21,1.85E-10
10/7/1995,22,1.85E-10
10/7/1995,23,1.85E-10
10/8/1995,0,1.83E-10
10/8/1995,1,1.83E-10
10/8/1995,2,1.83E-10
10/8/1995,3,1.83E-10
10/8/1995,4,1.83E-10
10/8/1995,5,1.83E-10
10/8/1995,6,1.83E-10
10/8/1995,7,1.83E-10
10/8/1995,8,1.83E-10
10/8/1995,9,1.83E-10
10/8/1995,10,1.83E-10
10/8/1995,11,1.83E-10
10/8/1995,12,1.83E-10
10/8/1995,13,1.83E-10
10/8/1995,14,1.83E-10
10/8/1995,15,1.83E-10
10/8/1995,16,1.83E-10
10/8/1995,17,1.83E-10
