"Hourly flow (m3/s), for default inSTREAM 6.0 project",
Values provided for water years 1995-99, Save in .csv format
Date,Hour,Green River flow (cms)
10/1/1995,0,32.5
10/1/1995,1,32.5
10/1/1995,2,33.4
10/1/1995,3,32.5
10/1/1995,4,32.5
10/1/1995,5,32.5
10/1/1995,6,32.5
10/1/1995,7,32.5
10/1/1995,8,32.5
10/1/1995,9,32.5
10/1/1995,10,36.2
10/1/1995,11,41.7
10/1/1995,12,41.7
10/1/1995,13,41.7
10/1/1995,14,41.7
10/1/1995,15,45.4
10/1/1995,16,46.4
10/1/1995,17,46.4
10/1/1995,18,46.4
10/1/1995,19,41.7
10/1/1995,20,41.7
10/1/1995,21,41.7
10/1/1995,22,37.1
10/1/1995,23,32.5
10/2/1995,0,32.5
10/2/1995,1,32.5
10/2/1995,2,32.5
10/2/1995,3,32.5
10/2/1995,4,32.5
10/2/1995,5,32.5
10/2/1995,6,32.5
10/2/1995,7,32.5
10/2/1995,8,32.5
10/2/1995,9,33.4
10/2/1995,10,36.2
10/2/1995,11,40.8
10/2/1995,12,41.7
10/2/1995,13,42.6
10/2/1995,14,39.9
10/2/1995,15,26
10/2/1995,16,46.4
10/2/1995,17,46.4
10/2/1995,18,46.4
10/2/1995,19,42.6
10/2/1995,20,41.7
10/2/1995,21,41.7
10/2/1995,22,37.1
10/2/1995,23,32.5
10/3/1995,0,32.5
10/3/1995,1,32.5
10/3/1995,2,32.5
10/3/1995,3,32.5
10/3/1995,4,32.5
10/3/1995,5,32.5
10/3/1995,6,32.5
10/3/1995,7,32.5
10/3/1995,8,32.5
10/3/1995,9,32.5
10/3/1995,10,37.1
10/3/1995,11,41.7
10/3/1995,12,41.7
10/3/1995,13,41.7
10/3/1995,14,41.7
10/3/1995,15,46.4
10/3/1995,16,46.4
10/3/1995,17,46.4
10/3/1995,18,46.4
10/3/1995,19,42.6
10/3/1995,20,41.7
10/3/1995,21,41.7
10/3/1995,22,38
10/3/1995,23,32.5
10/4/1995,0,32.5
10/4/1995,1,32.5
10/4/1995,2,32.5
10/4/1995,3,32.5
10/4/1995,4,32.5
10/4/1995,5,32.5
10/4/1995,6,32.5
10/4/1995,7,32.5
10/4/1995,8,32.5
10/4/1995,9,32.5
10/4/1995,10,37.1
10/4/1995,11,41.7
10/4/1995,12,41.7
10/4/1995,13,41.7
10/4/1995,14,41.7
10/4/1995,15,46.4
10/4/1995,16,46.4
10/4/1995,17,46.4
10/4/1995,18,46.4
10/4/1995,19,42.6
10/4/1995,20,41.7
10/4/1995,21,41.7
10/4/1995,22,38
10/4/1995,23,32.5
10/5/1995,0,33.4
10/5/1995,1,32.5
10/5/1995,2,32.5
10/5/1995,3,33.4
10/5/1995,4,32.5
10/5/1995,5,32.5
10/5/1995,6,32.5
10/5/1995,7,33.4
10/5/1995,8,32.5
10/5/1995,9,32.5
10/5/1995,10,37.1
10/5/1995,11,41.7
10/5/1995,12,41.7
10/5/1995,13,42.7
10/5/1995,14,41.7
10/5/1995,15,46.4
10/5/1995,16,46.4
10/5/1995,17,47.3
10/5/1995,18,46.4
10/5/1995,19,41.7
10/5/1995,20,41.7
10/5/1995,21,41.7
10/5/1995,22,38
10/5/1995,23,32.5
10/6/1995,0,32.5
10/6/1995,1,32.5
10/6/1995,2,32.5
10/6/1995,3,32.5
10/6/1995,4,32.5
10/6/1995,5,32.5
10/6/1995,6,32.5
10/6/1995,7,32.5
10/6/1995,8,33.4
10/6/1995,9,32.5
10/6/1995,10,36.2
10/6/1995,11,41.7
10/6/1995,12,40.8
10/6/1995,13,41.7
10/6/1995,14,41.7
10/6/1995,15,45.4
10/6/1995,16,46.4
10/6/1995,17,47.3
10/6/1995,18,46.4
10/6/1995,19,41.7
10/6/1995,20,41.7
10/6/1995,21,41.7
10/6/1995,22,37.1
10/6/1995,23,33.4
10/7/1995,0,32.5
10/7/1995,1,32.5
10/7/1995,2,32.5
10/7/1995,3,32.5
10/7/1995,4,32.5
10/7/1995,5,32.5
10/7/1995,6,32.5
10/7/1995,7,32.5
10/7/1995,8,32.5
10/7/1995,9,33.4
10/7/1995,10,36.2
10/7/1995,11,41.7
10/7/1995,12,41.7
10/7/1995,13,41.7
10/7/1995,14,41.7
10/7/1995,15,46.4
10/7/1995,16,46.4
10/7/1995,17,46.4
10/7/1995,18,46.4
10/7/1995,19,42.7
10/7/1995,20,41.7
10/7/1995,21,41.7
10/7/1995,22,37.1
10/7/1995,23,33.4
10/8/1995,0,32.5
10/8/1995,1,32.5
10/8/1995,2,32.5
10/8/1995,3,32.5
10/8/1995,4,32.5
10/8/1995,5,32.5
10/8/1995,6,32.5
10/8/1995,7,32.5
10/8/1995,8,32.5
10/8/1995,9,32.5
10/8/1995,10,37.1
10/8/1995,11,40.8
10/8/1995,12,41.7
10/8/1995,13,41.7
10/8/1995,14,42.7
10/8/1995,15,46.4
10/8/1995,16,46.4
10/8/1995,17,46.4
10/8/1995,18,46.4
10/8/1995,19,41.7
10/8/1995,20,41.7
10/8/1995,21,42.7
10/8/1995,22,37.1
10/8/1995,23,32.5
10/9/1995,0,32.5
10/9/1995,1,32.5
10/9/1995,2,32.5
10/9/1995,3,32.5
10/9/1995,4,32.5
10/9/1995,5,33.4
10/9/1995,6,32.5
10/9/1995,7,32.5
10/9/1995,8,32.5
10/9/1995,9,32.5
10/9/1995,10,36.2
10/9/1995,11,41.7
10/9/1995,12,41.7
10/9/1995,13,41.7
10/9/1995,14,41.7
10/9/1995,15,46.4
10/9/1995,16,46.4
10/9/1995,17,46.4
10/9/1995,18,47.3
10/9/1995,19,41.7
10/9/1995,20,41.7
10/9/1995,21,41.7
10/9/1995,22,38
10/9/1995,23,33.4
10/10/1995,0,32.5
10/10/1995,1,32.5
10/10/1995,2,32.5
10/10/1995,3,32.5
10/10/1995,4,32.5
10/10/1995,5,32.5
10/10/1995,6,32.5
10/10/1995,7,32.5
10/10/1995,8,32.5
10/10/1995,9,32.5
10/10/1995,10,36.2
10/10/1995,11,41.7
10/10/1995,12,41.7
10/10/1995,13,41.7
10/10/1995,14,41.7
10/10/1995,15,46.4
10/10/1995,16,46.4
10/10/1995,17,46.4
10/10/1995,18,46.4
10/10/1995,19,42.7
10/10/1995,20,41.7
10/10/1995,21,41.7
10/10/1995,22,37.1
10/10/1995,23,33.4
10/11/1995,0,32.5
10/11/1995,1,32.5
10/11/1995,2,32.5
10/11/1995,3,32.5
10/11/1995,4,32.5
10/11/1995,5,32.5
10/11/1995,6,32.5
10/11/1995,7,32.5
10/11/1995,8,32.5
10/11/1995,9,32.5
10/11/1995,10,37.1
10/11/1995,11,40.8
10/11/1995,12,42.7
10/11/1995,13,41.7
10/11/1995,14,41.7
10/11/1995,15,46.4
10/11/1995,16,46.4
10/11/1995,17,46.4
10/11/1995,18,46.4
10/11/1995,19,42.7
10/11/1995,20,43.6
10/11/1995,21,42.7
10/11/1995,22,38
10/11/1995,23,32.5
10/12/1995,0,32.5
10/12/1995,1,32.5
10/12/1995,2,32.5
10/12/1995,3,32.5
10/12/1995,4,32.5
10/12/1995,5,32.5
10/12/1995,6,32.5
10/12/1995,7,32.5
10/12/1995,8,32.5
10/12/1995,9,33.4
10/12/1995,10,37.1
10/12/1995,11,41.7
10/12/1995,12,41.7
10/12/1995,13,41.7
10/12/1995,14,41.7
10/12/1995,15,46.4
10/12/1995,16,46.4
10/12/1995,17,47.3
