Lower Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide,FracSpawn,FracHide,ReachEnd
1,0.2,0.5,0,0.2,I
2,0.2,0.5,0,0.2,I
3,0.4,0.2,0,0.6,I
4,0.02,10,0,0.01,I
5,0.01,15,0,0,I
6,0.01,5,0,0.01,I
7,0.01,5,0,0.01,I
8,0.05,2.1,0,0.02,U
9,0.05,2.1,0,0.02,U
10,0.05,2.1,0,0.02,U
11,0.05,2.1,0,0.02,I
12,0.05,2.1,0,0.02,I
13,0.05,0.3,0,0.7,I
14,0.05,0.3,0,0.7,I
15,0.05,0.3,0,0.7,I
16,0.05,0.3,0,0.7,I
17,0.2,0.5,0,0.2,I
18,0.2,0.5,0,0.2,I
19,0.2,0.5,0,0.2,I
20,0.2,0.5,0,0.2,I
21,0.02,5,0,0.01,I
22,0.05,4.02,0,0.01,I
23,0.05,2.1,0,0.02,I
24,0.1,1.5,0,0.02,I
25,0.05,2.1,0,0.02,I
26,0.05,2.1,0,0.02,I
27,0.05,2.1,0,0.02,I
28,0.05,2.1,0,0.02,I
29,0.05,2.1,0,0.02,I
30,0,2,0,0.05,I
31,0.05,0.3,0,0.7,I
32,0,2,0,0.05,I
33,0,2,0,0.05,I
34,0,2,0,0.05,I
35,0.2,0.5,0,0.2,I
36,0.2,0.5,0,0.2,I
37,0.2,0.5,0,0.2,I
38,0.2,0.5,0,0.2,I
39,0.2,0.5,0,0.2,I
40,0.2,0.5,0,0.2,I
41,0.2,0.5,0,0.2,I
42,0.05,10,0,0.01,I
43,0.02,5,0,0.01,I
44,0.02,5,0,0.01,I
45,0.1,1.5,0,0.02,I
46,0.05,2.1,0,0.02,I
47,0.05,2.1,0,0.02,I
48,0.01,4.02,0,0.01,I
49,0,2,0,0.05,I
50,0,2,0,0.05,I
51,0,2,0,0.05,I
52,0,0.5,0,0.1,I
53,0,2,0,0.05,I
54,0.2,0.5,0,0.2,I
55,0.2,0.5,0,0.2,I
56,0.2,0.5,0,0.2,I
57,0.2,0.5,0,0.2,I
58,0.05,10,0,0.01,I
59,0.2,0.5,0,0.2,I
60,0.04,2,0,0.02,I
61,0.05,10,0,0.01,I
62,0.04,2,0,0.02,I
63,0.01,4.02,0,0.01,I
64,0.01,4.02,0,0.01,I
65,0,0.5,0,0.1,I
66,0,0.5,0,0.1,I
67,0.05,1.5,0,0.02,I
68,0,0.5,0,0.1,I
69,0,0.5,0,0.1,I
70,0,0.5,0,0.1,I
71,0,0.5,0,0.1,I
72,0.2,0.5,0,0.2,I
73,0.2,0.5,0,0.2,I
74,0.2,0.5,0,0.2,I
75,0.4,0.2,0,0.6,I
76,0.4,0.2,0,0.6,I
77,0.04,2,0,0.02,I
78,0.04,2,0,0.02,I
79,0.04,2,0,0.02,I
80,0.05,1.5,0,0.02,I
81,0,0.25,0,0.2,I
82,0,0.25,0,0.2,I
83,0,0.25,0,0.2,I
84,0.05,1.5,0,0.02,I
85,0,0.25,0,0.2,I
86,0.05,1.5,0,0.02,I
87,0,0.25,0,0.2,I
88,0,0.5,0,0.1,I
89,0.2,0.5,0,0.2,I
90,0.2,0.5,0,0.2,I
91,0.2,0.5,0,0.2,I
92,0.05,10,0,0.01,I
93,0.2,0.5,0,0.2,I
94,0.05,10,0,0.01,I
95,0.05,10,0,0.01,I
96,0.05,10,0,0.01,I
97,0.4,0.2,0,0.6,I
98,0.05,10,0,0.01,I
99,0,0.25,0,0.2,I
100,0,0.25,0,0.2,I
101,0.05,1.5,0,0.02,I
102,0,0.25,0,0.2,I
103,0,0.25,0,0.2,I
104,0,0.25,0,0.2,I
105,0.05,1.5,0,0.02,I
106,0.05,1.5,0,0.02,I
107,0.05,1.5,0,0.02,I
108,0.05,1.5,0,0.02,I
109,0,0.25,0,0.2,I
110,0.2,0.5,0,0.2,I
111,0.2,0.5,0,0.2,I
112,0.2,0.5,0,0.2,I
113,0.2,0.5,0,0.2,I
114,0.4,0.2,0,0.6,I
115,0.4,0.2,0,0.6,I
116,0.05,10,0,0.01,I
117,0.4,0.2,0,0.6,I
118,0,0.25,0,0.2,I
119,0,0.25,0,0.2,I
120,0,0.25,0,0.2,I
121,0.05,1.5,0,0.02,I
122,0,0.25,0,0.2,I
123,0,0.25,0,0.2,I
124,0,0.25,0,0.2,I
125,0.05,1.5,0,0.02,I
126,0.05,1.5,0,0.02,I
127,0.05,10,0,0.01,I
128,0.05,1.5,0,0.03,I
129,0.2,0.5,0,0.2,I
130,0.2,0.5,0,0.2,I
131,0.2,0.5,0,0.2,I
