Upper Site habitat input
inSTREAM 6.0 default project
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide,ReachEnd
1,0.5,0.1,0,0.8,I
2,0.1,0.8,0,0.1,I
3,0.05,1.5,0,0.02,I
4,0.1,2.2,0,0.02,I
5,0.1,2.2,0,0.02,I
6,0.01,5,0,0,I
7,0.01,5,0,0,U
8,0.01,5,0,0,I
9,0.2,3,0,0.02,U
10,0.2,3,0,0.02,U
11,0.01,1,0,0.05,I
12,0.01,1,0,0.05,I
13,0.05,3,0,0.15,I
14,0.01,4,0,0,I
15,0,0,0,0,I
16,0,3,0.4,0.05,I
17,0.05,1.5,0,0.02,I
18,0.1,3,0,0.02,I
19,0.1,3,0,0.02,I
20,0.1,3,0,0.02,I
21,0.1,3,0,0.02,I
22,0.01,5,0,0,I
23,0.01,5,0,0,I
24,0.01,5,0,0,I
25,0.01,5,0,0,I
26,0.2,3,0,0.02,I
27,0.01,1,0,0.05,I
28,0.05,3,0.1,0.15,I
29,0.05,3,0.1,0.15,I
30,0.05,3,0.1,0.15,I
31,0.01,4,0,0,I
32,0.01,4,0,0,I
33,0.01,4,0,0,I
34,0,0,0,0,I
35,0.2,1,0,0.1,I
36,0.2,1,0,0.1,I
37,0.2,1,0,0.1,I
38,0.1,3,0,0.02,I
39,0.5,0.1,0,0.8,I
40,0.2,1.27,0,0.05,I
41,0.01,1,0,0.05,I
42,0.01,1,0,0.05,I
43,0,3,0.1,0.05,I
44,0,0.1,0.3,0.05,I
45,0,0.1,0.3,0.05,I
46,0.05,3,0.1,0.15,I
47,0.05,3,0.1,0.15,I
48,0.25,0.1,0,0.75,I
49,0.2,1,0,0.1,I
50,0.3,1,0,0.1,I
51,0.5,0.8,0,0.2,I
52,0.2,1.27,0,0.05,I
53,0,3,0.1,0.05,I
54,0,3,0.1,0.05,I
55,0.05,3,0.25,0.3,I
56,0.25,0.1,0,0.75,I
57,0.25,0.5,0,0.5,I
58,0.08,0.96,0,0.1,I
59,0.2,1.27,0,0.05,I
60,0.2,0.8,0,0.15,I
61,0.2,1.27,0,0.05,I
62,0,3,0.1,0.05,I
63,0,3,0.1,0.05,I
64,0.3,0.5,0.25,0.4,I
65,0.3,0.5,0.25,0.4,I
66,0,0,0,0,I
67,0.2,0.8,0,0.15,I
68,0.2,0.8,0,0.15,I
69,0.1,1.5,0,0.1,I
70,0.08,0.96,0,0.1,I
71,0.2,1.27,0,0.05,I
72,0.2,1.27,0,0.05,I
73,0.2,1.27,0,0.05,I
74,0,3,0.1,0.05,I
75,0,3,0.1,0.05,I
76,0.05,3,0.1,0.05,I
77,0.05,3,0.1,0.05,I
78,0.05,3,0.1,0.05,I
79,0.05,3,0.1,0.05,I
80,0.25,3,0.05,0.05,I
81,0.25,3,0.05,0.05,I
82,0.1,1.5,0,0.1,I
83,0.1,1.5,0,0.1,I
84,0.1,1.5,0,0.1,I
85,0.15,2,0,0.02,I
86,0.1,1.5,0,0.1,I
87,0.15,2,0,0.02,I
88,0,3,0.1,0.05,I
89,0,3,0.1,0.05,I
90,0,3,0.1,0.05,I
91,0,3,0.1,0.05,I
92,0.05,3,0.1,0.05,I
93,0.05,3,0.1,0.05,I
94,0.1,2,0.25,0.05,I
95,0.1,2,0.25,0.05,I
96,0,0,0,0,I
97,0.5,0.3,0,0.2,I
98,0.15,1.5,0,0.05,I
99,0.3,1.4,0,0.03,I
100,0.3,1.4,0,0.03,I
101,0,3,0.1,0.05,I
102,0,3,0.1,0.05,I
103,0.05,4,0.1,0.05,I
104,0.1,2,0.25,0.05,I
105,0.2,0.1,0,0.75,I
106,0.1,2,0.25,0.05,I
107,0,0,0,0,I
108,0.15,1.5,0,0.05,I
109,0.15,1.5,0,0.05,I
110,0.3,1.4,0,0.03,I
111,0.3,1.4,0,0.03,I
112,0.3,1.4,0,0.03,I
113,0,3,0.1,0.05,I
114,0.05,4,0.1,0.05,I
115,0.05,4,0.1,0.05,I
116,0.2,0.1,0,0.75,I
117,0,0,0,0,I
118,0.1,3,0.1,0.05,I
119,0,0,0,0,I
120,0.02,2,0,0.02,I
121,0.02,2,0,0.02,I
122,0.02,2,0,0.02,I
123,0.02,2,0,0.02,I
124,0.5,0.3,0,0.2,I
125,0.3,0.86,0,0.15,I
126,0,3,0.1,0.05,I
127,0.1,3,0.1,0.05,I
128,0.2,1,0,0.1,I
129,0.2,0.1,0,0.75,I
130,0.2,1,0,0.1,I
131,0.3,0.5,0,0.25,I
132,0.3,0.5,0,0.25,I
133,0.3,0.5,0,0.25,I
134,0.6,0.2,0,0.3,I
135,0.6,0.2,0,0.3,I
136,0.25,1.2,0,0.05,I
137,0.3,0.86,0,0.15,I
138,0.3,0.86,0,0.15,I
139,0.3,0.5,0,0.25,I
140,0.3,0.5,0,0.25,I
141,0.3,0.5,0,0.25,I
142,0.2,0.1,0,0.75,I
143,0,0,0,0,I
144,0.3,0.5,0,0.25,I
145,0.01,3.75,0,0.01,I
146,0.01,2,0,0.1,I
147,0.01,2,0,0.1,I
148,0.1,0.2,0,0.6,I
149,0.01,2,0,0.1,I
150,0.3,0.86,0,0.15,I
151,0.3,0.86,0,0.15,I
152,0.3,0.86,0,0.15,I
153,0.3,0.86,0,0.15,I
154,0.3,0.1,0,0.4,I
155,0.1,0.2,0,0.1,I
156,0.1,0.2,0,0.1,I
157,0.01,3.75,0,0.01,I
158,0.01,3.75,0,0.01,I
159,0.01,2,0,0.1,I
160,0.01,0.1,0,0.8,I
161,0.1,1.27,0,0.05,I
162,0.1,1.27,0,0.05,I
163,0.1,1.27,0,0.05,I
164,0.1,1.27,0,0.05,I
165,0.3,0.86,0,0.15,I
166,0.3,0.86,0,0.15,I
167,0.3,0.86,0,0.15,I
168,0.01,3.75,0,0.01,I
169,0.5,0.1,0,0.5,I
170,0,0,0,0,I
171,0,0,0,0,I
172,0.01,3.75,0,0.01,I
173,0.5,0.1,0,0.5,I
174,0.01,3.75,0,0.01,I
175,0.05,2.5,0,0.02,I
176,0.1,1.27,0,0.05,I
177,0.1,1.27,0,0.05,I
178,0.1,1.27,0,0.05,I
179,0.1,1.27,0,0.05,I
180,0.1,1.27,0,0.05,I
181,0.3,0.86,0,0.15,I
182,0.3,0.86,0,0.15,I
183,0.3,0.86,0,0.15,I
184,0.3,0.86,0,0.15,I
185,0.5,0.1,0,0.5,I
186,0.1,0.2,0,0.1,I
187,0.1,0.2,0,0.1,I
188,0.1,0.2,0,0.1,I
189,0.01,3.75,0,0.01,I
190,0.5,0.1,0,0.5,I
191,0.01,3.75,0,0.01,I
192,0.05,2.5,0,0.02,I
193,0.02,1,0,0.05,I
194,0.1,1.27,0,0.05,I
195,0.05,2.5,0,0.02,I
196,0.1,1.27,0,0.05,I
197,0.1,1.27,0,0.05,I
198,0.1,1.27,0,0.05,I
199,0.3,0.86,0,0.15,I
200,0.3,0.86,0,0.15,I
201,0.01,3.75,0,0.01,I
202,0.01,3.75,0,0.01,I
203,0.5,0.1,0,0.5,I
204,0.5,0.5,0,0.5,I
205,0.05,0.5,0,0.05,I
206,0,0,0,0,I
207,0.5,0.5,0,0.5,I
208,0.5,0.5,0,0.5,I
209,0.5,0.5,0,0.5,I
210,0.02,1,0,0.05,I
211,0,3,0.5,0,I
212,0,3,0.5,0,I
213,0,3,0.5,0,I
214,0.1,1.27,0,0.05,I
215,0.1,1.27,0,0.05,I
216,0.1,1.27,0,0.05,I
217,0.1,1.27,0,0.05,I
218,0.1,1.27,0,0.05,I
219,0.3,0.86,0,0.15,I
220,0.3,0.86,0,0.15,I
221,0.5,0.5,0,0.5,I
222,0.5,0.5,0,0.5,I
223,0.05,0.5,0,0.05,I
224,0.5,0.5,0,0.5,I
