
Model Run System Date and Time: Tue 10-Jan-2012 16:52:45

Scenario,Replicate,ModelDate,getReachSymbol,getSpecies,getAgeSymbol,Count,MeanLength,TotalWeight,MeanWeight
1,1,10/01/1999,ExampleSmallSite,Cutthroat,Age0,265,7.003531,1163.274498,4.389715
1,1,10/01/1999,ExampleSmallSite,Cutthroat,Age1,17,12.251833,368.933874,21.701993
1,1,10/01/1999,ExampleSmallSite,Cutthroat,Age2,3,14.922121,119.755578,39.918526
1,1,10/01/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,18.730154,231.828102,77.276034
1,1,10/11/1999,ExampleSmallSite,Cutthroat,Age0,246,7.149823,1133.522225,4.607814
1,1,10/11/1999,ExampleSmallSite,Cutthroat,Age1,17,12.341078,374.029379,22.001728
1,1,10/11/1999,ExampleSmallSite,Cutthroat,Age2,2,15.979090,94.894515,47.447257
1,1,10/11/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,18.776604,232.387759,77.462586
1,1,10/21/1999,ExampleSmallSite,Cutthroat,Age0,227,7.267766,1089.314116,4.798741
1,1,10/21/1999,ExampleSmallSite,Cutthroat,Age1,17,12.428549,379.758233,22.338720
1,1,10/21/1999,ExampleSmallSite,Cutthroat,Age2,1,15.680865,43.613994,43.613994
1,1,10/21/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,18.814990,232.320192,77.440064
1,1,10/31/1999,ExampleSmallSite,Cutthroat,Age0,211,7.421871,1076.667309,5.102689
1,1,10/31/1999,ExampleSmallSite,Cutthroat,Age1,17,12.486340,386.315799,22.724459
1,1,10/31/1999,ExampleSmallSite,Cutthroat,Age2,1,15.680865,43.524007,43.524007
1,1,10/31/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,18.858249,234.037066,78.012355
1,1,11/10/1999,ExampleSmallSite,Cutthroat,Age0,194,7.569623,1047.365422,5.398791
1,1,11/10/1999,ExampleSmallSite,Cutthroat,Age1,16,12.511701,368.296515,23.018532
1,1,11/10/1999,ExampleSmallSite,Cutthroat,Age2,1,15.680865,43.603773,43.603773
1,1,11/10/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,18.878356,234.691142,78.230381
1,1,11/20/1999,ExampleSmallSite,Cutthroat,Age0,180,7.704296,1021.401031,5.674450
1,1,11/20/1999,ExampleSmallSite,Cutthroat,Age1,16,12.583056,374.957117,23.434820
1,1,11/20/1999,ExampleSmallSite,Cutthroat,Age2,1,15.680865,44.150638,44.150638
1,1,11/20/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,18.906184,236.687819,78.895940
1,1,11/30/1999,ExampleSmallSite,Cutthroat,Age0,168,7.879344,1016.256378,6.049145
1,1,11/30/1999,ExampleSmallSite,Cutthroat,Age1,16,12.802942,397.466946,24.841684
1,1,11/30/1999,ExampleSmallSite,Cutthroat,Age2,1,15.680865,45.003131,45.003131
1,1,11/30/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,19.030116,242.279596,80.759865
1,1,12/10/1999,ExampleSmallSite,Cutthroat,Age0,156,8.039227,1000.542991,6.413737
1,1,12/10/1999,ExampleSmallSite,Cutthroat,Age1,16,12.875677,403.851429,25.240714
1,1,12/10/1999,ExampleSmallSite,Cutthroat,Age2,1,15.777572,46.087311,46.087311
1,1,12/10/1999,ExampleSmallSite,Cutthroat,Age3Plus,3,19.105299,246.207984,82.069328
