
Model Run System Date and Time: Tue 10-Jan-2012 16:52:ª

Scenario,Replicate,ReddID,SpawnerLength,SpawnerWeight,SpawnerAge,Species,Reach,CellNo,CreateDate,InitialViableEggs,EmptyDate,Dewatering,Scouring,LowTemp,HiTemp,Superimp,FryEmerged
1,1,01B7C620,20.896291,106.441508,4,Cutthroat,ExampleSmallSite,1707,04/02/2000,197,06/14/2000,0,0,0,6,0,191
1,1,01B23A40,21.011257,108.225288,4,Cutthroat,ExampleSmallSite,1707,04/06/2000,200,06/17/2000,0,0,0,4,0,196
1,1,01B23AF0,10.112647,12.243875,1,Cutthroat,ExampleSmallSite,1707,04/06/2000,31,06/17/2000,0,0,0,0,20,11
1,1,01B7DDB8,10.008818,11.873053,1,Cutthroat,ExampleSmallSite,1707,04/06/2000,31,06/17/2000,0,0,0,1,0,30
1,1,01B23C80,14.114894,33.072044,2,Cutthroat,ExampleSmallSite,1103,04/08/2000,73,06/19/2000,0,0,1,1,39,32
1,1,01CFF670,10.073668,12.103773,1,Cutthroat,ExampleSmallSite,1103,04/11/2000,31,06/22/2000,0,0,0,0,28,3
1,1,01D07A48,11.664999,18.738643,1,Cutthroat,ExampleSmallSite,1707,04/12/2000,45,06/22/2000,0,0,0,1,0,44
1,1,01CFD6E8,11.322809,17.147671,1,Cutthroat,ExampleSmallSite,1707,04/12/2000,42,06/22/2000,0,0,0,1,0,41
1,1,01D0D868,15.264014,41.759427,2,Cutthroat,ExampleSmallSite,406,04/13/2000,89,06/23/2000,0,0,0,1,0,88
1,1,01CD5338,11.802483,19.404495,1,Cutthroat,ExampleSmallSite,1707,04/13/2000,47,06/23/2000,0,0,0,4,0,43
1,1,01D06468,12.816202,24.805301,1,Cutthroat,ExampleSmallSite,1707,04/15/2000,57,06/25/2000,0,0,0,3,0,54
1,1,01CEE480,10.194032,12.539861,1,Cutthroat,ExampleSmallSite,1103,04/15/2000,32,06/25/2000,0,0,0,0,30,2
1,1,01CFE438,11.356668,17.300931,1,Cutthroat,ExampleSmallSite,1707,04/17/2000,42,06/26/2000,0,0,0,2,0,40
1,1,01CF2900,10.234015,12.687000,1,Cutthroat,ExampleSmallSite,1103,04/19/2000,32,06/27/2000,0,0,0,2,0,30
1,1,01C8B5B0,10.349884,13.119868,1,Cutthroat,ExampleSmallSite,1707,04/21/2000,33,06/29/2000,0,0,0,3,0,30
1,1,01D08198,17.550193,63.296796,3,Cutthroat,ExampleSmallSite,1707,04/26/2000,127,07/02/2000,0,0,0,10,0,117
1,1,01CC5770,11.115685,16.229743,1,Cutthroat,ExampleSmallSite,1707,04/29/2000,40,07/03/2000,0,0,0,3,0,37
1,1,01C8DE00,15.590625,44.478996,2,Cutthroat,ExampleSmallSite,406,04/30/2000,94,07/04/2000,0,0,0,5,0,89
1,1,01CB3450,12.234593,21.599241,1,Cutthroat,ExampleSmallSite,1707,04/30/2000,51,07/04/2000,0,0,0,3,0,48
1,1,01CCB030,11.135297,16.315225,1,Cutthroat,ExampleSmallSite,1103,05/02/2000,40,07/05/2000,0,0,0,4,0,36
1,1,01CC0B80,16.098263,48.935404,2,Cutthroat,ExampleSmallSite,406,05/03/2000,102,07/06/2000,0,0,0,8,0,94
1,1,01C8CDC8,10.842768,15.070907,1,Cutthroat,ExampleSmallSite,1707,05/06/2000,38,07/07/2000,0,0,0,1,0,37
1,1,01C99B68,11.771637,19.253757,1,Cutthroat,ExampleSmallSite,1707,05/08/2000,46,07/08/2000,0,0,0,3,0,43
1,1,01D0AAB0,14.843012,38.420003,2,Cutthroat,ExampleSmallSite,1707,05/09/2000,83,07/09/2000,0,0,0,4,0,79
1,1,01C96EC8,16.852175,56.086259,2,Cutthroat,ExampleSmallSite,406,05/11/2000,115,07/10/2000,0,0,0,14,0,101
1,1,01C92A80,11.602220,18.439711,1,Cutthroat,ExampleSmallSite,1707,05/14/2000,45,07/12/2000,0,0,0,4,0,41
1,1,01CAFD78,15.007146,39.699958,2,Cutthroat,ExampleSmallSite,1707,05/18/2000,86,07/14/2000,0,0,0,6,0,80
1,1,01C8F618,12.198633,21.410605,1,Cutthroat,ExampleSmallSite,1103,05/21/2000,51,07/17/2000,0,0,0,4,0,47
1,1,01CAD300,11.223605,16.703835,1,Cutthroat,ExampleSmallSite,1103,04/04/2001,41,05/12/2001,0,0,0,0,41,0
1,1,01CF3008,13.199679,27.083232,2,Cutthroat,ExampleSmallSite,1103,04/02/2001,62,06/15/2001,0,0,0,0,57,5
1,1,01D0E1E0,10.475742,13.601049,1,Cutthroat,ExampleSmallSite,1707,04/02/2001,34,06/15/2001,0,0,0,1,20,13
1,1,01CA21F0,11.147883,16.370239,1,Cutthroat,ExampleSmallSite,1103,04/03/2001,40,06/15/2001,0,0,0,4,2,34
1,1,01D98258,10.628593,14.201018,1,Cutthroat,ExampleSmallSite,1707,04/03/2001,36,06/15/2001,0,0,0,0,27,9
1,1,01CC2128,20.919480,106.822647,4,Cutthroat,ExampleSmallSite,1707,04/05/2001,198,06/16/2001,0,0,0,0,173,25
