Format: must be tab separated, first four field are required, 5th-7th are optional.
VariableName	DefaultValue	VariableTitle	DataType	DisplayOrder	LowerBound	UpperBound
@begin
fishCaptureParam1	1.6	Ratio velocity/swim speed for capture success = 0.1	FLOAT	0	1	2
fishCaptureParam9	0.5	Ratio velocity/swim speed for capture success = 0.9	FLOAT	5	0.1	0.9
fishCmaxParamA	0.628	Allometric constant in Cmax equation (unitless)	FLOAT	10	0.1	2
fishCmaxParamB	-0.3	Allometric exponent in Cmax equation (unitless)	FLOAT	15	-1	0
fishCmaxTempF1	0.05	Value for first point in Cmax temperature function (unitless)	FLOAT	20	0	1
fishCmaxTempF2	0.05	Value for 2nd point in Cmax temperature function (unitless)	FLOAT	25	0	1
fishCmaxTempF3	0.5	Value for 3rd point in Cmax temperature function (unitless)	FLOAT	30	0	1
fishCmaxTempF4	1	Value for 4th point in Cmax temperature function (unitless)	FLOAT	35	0	1
fishCmaxTempF5	0.8	Value for 5th point in Cmax temperature function (unitless)	FLOAT	40	0	1
fishCmaxTempF6	0	Value for 6th point in Cmax temperature function (unitless)	FLOAT	45	0	1
fishCmaxTempF7	0	Value for 7th point in Cmax temperature function (unitless)	FLOAT	50	0	1
fishCmaxTempT1	0	Temperature (C) for first point in max consumption function	FLOAT	55	0	30
fishCmaxTempT2	2	Temperature (C) for 2nd point in max consumption function	FLOAT	60	0	30
fishCmaxTempT3	10	Temperature (C) for 3rd point in max consumption function	FLOAT	65	0	30
fishCmaxTempT4	22	Temperature (C) for 4th point in max consumption function	FLOAT	70	0	30
fishCmaxTempT5	23	Temperature (C) for 5th point in max consumption function	FLOAT	75	0	30
fishCmaxTempT6	25	Temperature (C) for 6th point in max consumption function	FLOAT	80	0	30
fishCmaxTempT7	100	Temperature (C) for 7th point in max consumption function	FLOAT	85	0	100
fishDetectDistParamA	4	A in: Detection distance = A + B*Length	FLOAT	90	0	10
fishDetectDistParamB	2	B in: Detection distance = A + B*Length	FLOAT	95	1	3
fishEnergyDensity	5900	Energy density (j/g) of trout/salmon	FLOAT	100	3000	10000
fishFecundParamA	0.18	A in: fecundity (eggs/redd) = A*Length^B	FLOAT	105	0.1	1000
fishFecundParamB	2.51	B in: fecundity (eggs/redd) = A*Length^B	FLOAT	110	0	3.5
fishFitnessHorizon	90	Time horizon (d) for habitat selection decision	FLOAT	115	5	100
fishMaxSwimParamA	2.8	Slope in max swim speed length term	FLOAT	120	2	4
fishMaxSwimParamB	21	Constant in max swim speed length term	FLOAT	125	0	50
fishMaxSwimParamC	-0.0029	T2 coefficient in max swim speed temperature term	FLOAT	130	-1	0
fishMaxSwimParamD	0.084	T coefficient in max swim speed temperature term	FLOAT	135	0	1
fishMaxSwimParamE	0.37	Constant in max swim speed temperature term	FLOAT	140	0	1
fishMoveDistParamA	20	A in: max move distance = A*Length^B (unitless)	FLOAT	145	5	100
fishMoveDistParamB	2	B in: max move distance = A*Length^B (unitless)	FLOAT	150	1	3
fishMovePenaltyTime	0	Time (hr) that fish do not feed after moving	FLOAT	155	0	2
fishPiscivoryLength	15	Length (cm) above which trout are assumed piscivorous	FLOAT	160	10	10000
